rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/loss,train/value_loss,train/clip_fraction,train/n_updates,train/clip_range,train/approx_kl
5.78,1,175,2048,0.7323856949806213,11,,,,,,,,,,
5.85,2,146,4096,0.5728007555007935,28,-0.2466799020767212,-0.03844192471151473,0.0003,-4.575421918928623,0.5069717764854431,1.0199349694419653,0.30859375,10,0.2,0.03554637
5.97,3,139,6144,0.46638569235801697,44,0.2437525987625122,-0.034491464827442544,0.0003,-4.535939048230648,0.21775875985622406,0.7358992073917762,0.32744140625,20,0.2,0.033068538
5.86,4,135,8192,0.5828007459640503,60,0.26731300354003906,-0.03576801713206805,0.0003,-4.466632430255413,0.45174354314804077,0.7065277008106932,0.37177734375,30,0.2,0.03336774
5.93,5,134,10240,0.5672158002853394,76,0.30274373292922974,-0.03575175557634793,0.0003,-4.427529428899288,0.03631763905286789,0.6031679030274972,0.4408203125,40,0.2,0.041029435
5.81,6,133,12288,0.7569933533668518,92,0.2929994463920593,-0.035022417578147724,0.0003,-4.33932945728302,0.09105795621871948,0.6051700775278732,0.42138671875,50,0.2,0.037186682
5.8,7,132,14336,0.6448007225990295,108,0.3062184453010559,-0.041542949294671415,0.0003,-4.35361660271883,0.2443295121192932,0.5806069146841765,0.44658203125,60,0.2,0.04639665
5.94,8,131,16384,0.44880080223083496,124,0.2586727738380432,-0.03557796450331807,0.0003,-4.330496552586555,0.4103723168373108,0.7201660278718919,0.4099609375,70,0.2,0.042980935
5.85,9,131,18432,0.6478007435798645,140,0.29432302713394165,-0.037521645237575285,0.0003,-4.294467906653881,0.05552104488015175,0.6401077307527885,0.442529296875,80,0.2,0.044212297
5.97,10,130,20480,0.5143857002258301,156,0.2550555467605591,-0.04188923713518307,0.0003,-4.19230977743864,0.16821689903736115,0.6028848216170445,0.446728515625,90,0.2,0.04957944
